Table Name,Row Count
ohlc_exp_240614,19125
ohlc_exp_240617,18916
ohlc_exp_240618,16925
ohlc_exp_240620,18452
ohlc_exp_240621,18753
ohlc_exp_240624,16847
ohlc_exp_240625,15731
ohlc_exp_240626,15515
ohlc_exp_240627,15995
ohlc_exp_240628,20661
ohlc_exp_240701,17382
ohlc_exp_240702,16184
ohlc_exp_240703,8135
ohlc_exp_240705,17827
ohlc_exp_240708,15178
ohlc_exp_240709,14859
ohlc_exp_240710,15884
ohlc_exp_240711,20559
ohlc_exp_240712,20377
ohlc_exp_240715,19227
ohlc_exp_240716,17395
ohlc_exp_240717,21618
ohlc_exp_240718,23563
ohlc_exp_240719,25632
ohlc_exp_240722,20958
ohlc_exp_240723,17140
ohlc_exp_240724,25263
ohlc_exp_240725,25836
ohlc_exp_240726,26443
ohlc_exp_240729,20818
ohlc_exp_240730,23239
ohlc_exp_240731,27236
ohlc_exp_240801,29350
ohlc_exp_240802,39304
ohlc_exp_240805,42747
ohlc_exp_240806,33834
ohlc_exp_240807,30899
ohlc_exp_240808,32781
ohlc_exp_240809,28495
ohlc_exp_240812,24373
ohlc_exp_240813,24539
ohlc_exp_240814,22901
ohlc_exp_240815,22485
ohlc_exp_240816,22321
ohlc_exp_240819,18171
ohlc_exp_240820,18988
ohlc_exp_240821,19937
ohlc_exp_240822,21901
ohlc_exp_240823,24864
ohlc_exp_240826,19684
ohlc_exp_240827,17616
ohlc_exp_240828,19630
ohlc_exp_240829,21079
ohlc_exp_240830,21969
ohlc_exp_240903,23564
ohlc_exp_240904,23659
ohlc_exp_240905,22974
ohlc_exp_240906,30424
ohlc_exp_240909,24397
ohlc_exp_240910,22340
ohlc_exp_240911,27660
ohlc_exp_240912,24904
ohlc_exp_240913,23689
ohlc_exp_240916,19428
ohlc_exp_240917,22092
ohlc_exp_240918,31184
ohlc_exp_240919,24623
ohlc_exp_240920,23574
ohlc_exp_240923,17835
ohlc_exp_240924,18145
ohlc_exp_240925,17811
ohlc_exp_240926,18769
ohlc_exp_240927,19416
ohlc_exp_240930,21521
ohlc_exp_241001,25522
ohlc_exp_241002,21721
ohlc_exp_241003,22632
ohlc_exp_241004,24956
ohlc_exp_241007,21776
ohlc_exp_241008,21256
ohlc_exp_241009,22590
ohlc_exp_241010,21191
ohlc_exp_241011,21709
ohlc_exp_241014,19278
ohlc_exp_241015,20308
ohlc_exp_241016,19161
ohlc_exp_241017,19427
ohlc_exp_241018,19003
ohlc_exp_241021,18596
ohlc_exp_241022,18100
ohlc_exp_241023,22319
ohlc_exp_241024,20664
ohlc_exp_241025,24124
ohlc_exp_241028,19432
ohlc_exp_241029,18227
ohlc_exp_241030,18618
ohlc_exp_241031,26787
ohlc_exp_241101,23897
ohlc_exp_241104,22369
ohlc_exp_241105,22701
ohlc_exp_241106,26327
ohlc_exp_241107,23828
ohlc_exp_241108,19746
ohlc_exp_241111,17396
ohlc_exp_241112,19175
ohlc_exp_241113,18928
ohlc_exp_241114,20060
ohlc_exp_241115,25163
ohlc_exp_241118,19412
ohlc_exp_241119,21301
ohlc_exp_241120,21917
ohlc_exp_241121,23580
ohlc_exp_241122,21167
ohlc_exp_241125,19801
ohlc_exp_241126,17891
ohlc_exp_241127,17640
ohlc_exp_241129,9915
ohlc_exp_241202,15790
ohlc_exp_241203,15706
ohlc_exp_241204,17114
ohlc_exp_241205,16659
ohlc_exp_241206,17921
ohlc_exp_241209,17608
ohlc_exp_241210,16650
ohlc_exp_241211,17496
ohlc_exp_241212,16375
ohlc_exp_241213,18553
ohlc_exp_241216,15918
ohlc_exp_241217,17263
ohlc_exp_241218,25507
ohlc_exp_241219,32476
ohlc_exp_241220,34891
ohlc_exp_241223,24531
ohlc_exp_241224,11216
ohlc_exp_241226,20950
ohlc_exp_241227,28945
ohlc_exp_241230,28223
ohlc_exp_241231,28919
ohlc_exp_250102,27800
ohlc_exp_250103,24195
ohlc_exp_250106,22916
ohlc_exp_250107,26160
ohlc_exp_250108,25982
ohlc_exp_250110,29493
ohlc_exp_250113,25478
ohlc_exp_250114,25331
ohlc_exp_250115,25890
ohlc_exp_250116,22198
ohlc_exp_250117,23788
ohlc_exp_250121,21497
ohlc_exp_250122,20769
ohlc_exp_250123,19175
ohlc_exp_250124,20927
ohlc_exp_250127,29185
ohlc_exp_250128,23932
ohlc_exp_250129,28304
ohlc_exp_250130,23202
ohlc_exp_250131,27470
ohlc_exp_250203,32545
ohlc_exp_250204,24100
ohlc_exp_250205,23004
ohlc_exp_250206,21072
ohlc_exp_250207,28170
ohlc_exp_250210,20891
ohlc_exp_250211,20331
ohlc_exp_250212,23306
ohlc_exp_250213,23996
ohlc_exp_250214,21637
ohlc_exp_250218,19033
ohlc_exp_250219,19824
ohlc_exp_250220,22250
ohlc_exp_250221,28220
ohlc_exp_250224,25828
ohlc_exp_250225,29863
ohlc_exp_250226,26321
ohlc_exp_250227,31055
ohlc_exp_250228,35457
ohlc_exp_250303,32695
ohlc_exp_250304,40326
ohlc_exp_250305,39239
ohlc_exp_250306,39553
ohlc_exp_250307,41697
ohlc_exp_250310,40216
ohlc_exp_250311,39698
ohlc_exp_250312,36500
ohlc_exp_250313,35268
ohlc_exp_250314,34106
ohlc_exp_250317,28371
ohlc_exp_250318,30103
ohlc_exp_250319,34043
ohlc_exp_250320,29431
ohlc_exp_250321,31669
ohlc_exp_250324,25924
ohlc_exp_250325,22216
ohlc_exp_250326,26112
ohlc_exp_250327,26748
ohlc_exp_250328,35241
ohlc_exp_250331,39349
ohlc_exp_250401,32213
ohlc_exp_250402,33827
ohlc_exp_250403,41757
ohlc_exp_250404,58745
ohlc_exp_250407,70602
ohlc_exp_250408,67854
ohlc_exp_250409,76092
ohlc_exp_250410,77288
ohlc_exp_250411,69894
ohlc_exp_250414,47879
ohlc_exp_250415,37258
ohlc_exp_250416,41898
ohlc_exp_250417,39973
ohlc_exp_250421,41464
ohlc_exp_250422,42814
ohlc_exp_250423,48619
ohlc_exp_250424,40324
ohlc_exp_250425,38548
ohlc_exp_250428,34229
ohlc_exp_250429,32894
ohlc_exp_250430,39426
ohlc_exp_250501,33900
ohlc_exp_250502,35219
ohlc_exp_250505,28771
ohlc_exp_250506,30153
ohlc_exp_250507,37266
ohlc_exp_250508,35475
ohlc_exp_250509,32170
ohlc_exp_250512,29178
ohlc_exp_250513,32031
ohlc_exp_250514,28896
ohlc_exp_250515,28822
ohlc_exp_250516,28784
ohlc_exp_250519,29232
ohlc_exp_250520,26767
ohlc_exp_250521,31097
ohlc_exp_250522,31050
ohlc_exp_250523,35041
ohlc_exp_250527,28859
ohlc_exp_250528,26164
ohlc_exp_250529,29701
ohlc_exp_250530,33680
ohlc_exp_250602,27611
ohlc_exp_250603,26327
ohlc_exp_250604,24971
ohlc_exp_250605,27745
ohlc_exp_250606,29405
ohlc_exp_250609,24112
ohlc_exp_250610,24765
ohlc_exp_250611,27320
ohlc_exp_250612,27486
ohlc_exp_250613,32422
ohlc_exp_250616,28634
ohlc_exp_250617,27607
ohlc_exp_250618,31056
ohlc_exp_250620,30581
ohlc_exp_250623,31232
ohlc_exp_250624,29188
ohlc_exp_250625,24036
ohlc_exp_250626,25218
ohlc_exp_250627,28490
ohlc_exp_250630,26268
