Table Name,Row Count
sa_exp_220422,208170
sa_exp_220425,128790
sa_exp_220426,78570
sa_exp_220427,153090
sa_exp_220428,0
sa_exp_220429,305370
sa_exp_220502,160380
sa_exp_220503,82620
sa_exp_220504,159570
sa_exp_220505,0
sa_exp_220506,224370
sa_exp_220509,152280
sa_exp_220510,82620
sa_exp_220511,159570
sa_exp_220512,0
sa_exp_220513,225180
sa_exp_220516,173340
sa_exp_220517,72900
sa_exp_220518,170910
sa_exp_220519,100440
sa_exp_220520,365310
sa_exp_220523,156330
sa_exp_220524,99630
sa_exp_220525,149040
sa_exp_220526,110160
sa_exp_220527,233280
sa_exp_220531,331290
sa_exp_220601,146610
sa_exp_220602,114210
sa_exp_220603,217890
sa_exp_220606,130410
sa_exp_220607,102060
sa_exp_220608,123120
sa_exp_220609,105300
sa_exp_220610,182250
sa_exp_220613,125550
sa_exp_220614,141750
sa_exp_220615,153090
sa_exp_220616,166050
sa_exp_220617,386370
sa_exp_220621,171720
sa_exp_220622,162810
sa_exp_220623,146610
sa_exp_220624,213840
sa_exp_220627,162810
sa_exp_220628,119880
sa_exp_220629,161190
sa_exp_220630,385560
sa_exp_220701,206550
sa_exp_220705,156330
sa_exp_220706,153900
sa_exp_220707,89910
sa_exp_220708,197640
sa_exp_220711,124740
sa_exp_220712,98820
sa_exp_220713,117450
sa_exp_220714,93150
sa_exp_220715,315090
sa_exp_220718,106920
sa_exp_220719,117450
sa_exp_220720,107730
sa_exp_220721,127980
sa_exp_220722,177390
sa_exp_220725,115830
sa_exp_220726,125550
sa_exp_220727,114210
sa_exp_220728,129600
sa_exp_220729,311040
sa_exp_220801,132030
sa_exp_220802,136080
sa_exp_220803,131220
sa_exp_220804,133650
sa_exp_220805,192780
sa_exp_220808,137700
sa_exp_220809,132030
sa_exp_220810,122310
sa_exp_220811,127980
sa_exp_220812,194400
sa_exp_220815,137700
sa_exp_220816,126360
sa_exp_220817,144990
sa_exp_220818,123930
sa_exp_220819,317520
sa_exp_220822,128790
sa_exp_220823,127170
sa_exp_220824,127980
sa_exp_220825,128790
sa_exp_220826,203310
sa_exp_220829,127170
sa_exp_220830,139320
sa_exp_220831,286740
sa_exp_220901,146610
sa_exp_220902,196020
sa_exp_220906,141750
sa_exp_220907,141750
sa_exp_220908,138510
sa_exp_220909,193590
sa_exp_220912,145800
sa_exp_220913,131220
sa_exp_220914,152280
sa_exp_220915,127980
sa_exp_220916,326430
sa_exp_220919,144990
sa_exp_220920,136890
sa_exp_220921,136080
sa_exp_220922,147420
sa_exp_220923,208980
sa_exp_220926,162000
sa_exp_220927,166050
sa_exp_220928,160380
sa_exp_220929,139320
sa_exp_220930,360450
sa_exp_221003,162000
sa_exp_221004,135270
sa_exp_221005,170100
sa_exp_221006,129600
sa_exp_221007,220320
sa_exp_221010,170100
sa_exp_221011,124740
sa_exp_221012,147420
sa_exp_221013,115020
sa_exp_221014,215460
sa_exp_221017,136080
sa_exp_221018,127980
sa_exp_221019,126360
sa_exp_221020,121500
sa_exp_221021,328860
sa_exp_221024,110160
sa_exp_221025,119070
sa_exp_221026,124740
sa_exp_221027,127980
sa_exp_221028,205740
sa_exp_221031,286740
sa_exp_221101,126360
sa_exp_221102,143370
sa_exp_221103,142560
sa_exp_221104,194400
sa_exp_221107,127170
sa_exp_221108,116640
sa_exp_221109,127170
sa_exp_221110,121500
sa_exp_221111,179820
sa_exp_221114,130410
sa_exp_221115,132030
sa_exp_221116,140130
sa_exp_221117,136890
sa_exp_221118,298890
sa_exp_221121,125550
sa_exp_221122,125550
sa_exp_221123,125550
sa_exp_221125,191970
sa_exp_221128,126360
sa_exp_221129,117450
sa_exp_221130,296460
sa_exp_221201,140940
sa_exp_221202,182250
sa_exp_221205,130410
sa_exp_221206,130410
sa_exp_221207,130410
sa_exp_221208,132030
sa_exp_221209,173340
sa_exp_221212,115830
sa_exp_221213,117450
sa_exp_221214,110970
sa_exp_221215,135270
sa_exp_221216,338580
sa_exp_221219,126360
sa_exp_221220,127980
sa_exp_221221,123930
sa_exp_221222,127170
sa_exp_221223,174960
sa_exp_221227,128790
sa_exp_221228,123930
sa_exp_221229,136080
sa_exp_221230,340200
sa_exp_230103,116640
sa_exp_230104,116640
sa_exp_230105,114210
sa_exp_230106,171720
sa_exp_230109,123930
sa_exp_230110,119880
sa_exp_230111,108540
sa_exp_230112,127170
sa_exp_230113,158760
sa_exp_230117,118260
sa_exp_230118,120690
sa_exp_230119,119070
sa_exp_230120,273780
sa_exp_230123,114210
sa_exp_230124,123120
sa_exp_230125,111780
sa_exp_230126,116640
sa_exp_230127,162000
sa_exp_230130,121500
sa_exp_230131,241380
sa_exp_230201,122310
sa_exp_230202,129600
sa_exp_230203,182250
sa_exp_230206,140940
sa_exp_230207,136080
sa_exp_230208,127170
sa_exp_230209,132030
sa_exp_230210,170910
sa_exp_230213,130410
sa_exp_230214,121500
sa_exp_230215,119880
sa_exp_230216,123930
sa_exp_230217,295650
sa_exp_230221,110160
sa_exp_230222,115830
sa_exp_230223,125550
sa_exp_230224,164430
sa_exp_230227,126360
sa_exp_230228,252720
sa_exp_230301,115830
sa_exp_230302,121500
sa_exp_230303,165240
sa_exp_230306,119880
sa_exp_230307,121500
sa_exp_230308,115020
sa_exp_230309,118260
sa_exp_230310,167670
sa_exp_230313,134460
sa_exp_230314,136890
sa_exp_230315,133650
sa_exp_230316,131220
sa_exp_230317,288360
sa_exp_230320,130410
sa_exp_230321,121500
sa_exp_230322,115020
sa_exp_230323,125550
sa_exp_230324,177390
sa_exp_230327,120690
sa_exp_230328,115020
sa_exp_230329,110160
sa_exp_230330,110160
sa_exp_230331,302130
sa_exp_230403,111780
sa_exp_230404,128790
sa_exp_230405,122310
sa_exp_230406,134460
sa_exp_230410,127170
sa_exp_230411,115830
sa_exp_230412,122310
sa_exp_230413,121500
sa_exp_230414,166860
sa_exp_230417,116640
sa_exp_230418,118260
sa_exp_230419,119070
sa_exp_230420,119070
sa_exp_230421,267300
sa_exp_230424,104490
sa_exp_230425,114210
sa_exp_230426,109350
sa_exp_230427,120690
sa_exp_230428,250290
sa_exp_230501,106920
sa_exp_230502,124740
sa_exp_230503,105300
sa_exp_230504,119880
sa_exp_230505,170910
sa_exp_230508,106920
sa_exp_230509,115020
sa_exp_230510,105300
