Table Name,Row Count,Table Name,Row Count,
ohlc_220422,91494,ohlc_220422,91494,0
ohlc_220425,95476,ohlc_220425,95476,0
ohlc_220426,75735,ohlc_220426,75735,0
ohlc_220427,75913,ohlc_220427,75913,0
ohlc_220428,69405,ohlc_220428,69405,0
ohlc_220429,83125,ohlc_220429,83125,0
ohlc_220502,92175,ohlc_220502,92175,0
ohlc_220503,60130,ohlc_220503,60130,0
ohlc_220504,76665,ohlc_220504,76665,0
ohlc_220505,73500,ohlc_220505,73500,0
ohlc_220506,82859,ohlc_220506,82859,0
ohlc_220509,90978,ohlc_220509,90978,0
ohlc_220510,78004,ohlc_220510,78004,0
ohlc_220511,78822,ohlc_220511,78822,0
ohlc_220512,76533,ohlc_220512,76533,0
ohlc_220513,79786,ohlc_220513,79786,0
ohlc_220516,72150,ohlc_220516,72150,0
ohlc_220517,72024,ohlc_220517,72024,0
ohlc_220518,88298,ohlc_220518,88298,0
ohlc_220519,75569,ohlc_220519,75569,0
ohlc_220520,91870,ohlc_220520,91870,0
ohlc_220523,80843,ohlc_220523,80843,0
ohlc_220524,77199,ohlc_220524,77199,0
ohlc_220525,76156,ohlc_220525,76156,0
ohlc_220526,81218,ohlc_220526,81218,0
ohlc_220527,79460,ohlc_220527,79460,0
ohlc_220531,80138,ohlc_220531,80138,0
ohlc_220601,78702,ohlc_220601,78702,0
ohlc_220602,68038,ohlc_220602,68038,0
ohlc_220603,72760,ohlc_220603,72760,0
ohlc_220606,68990,ohlc_220606,68990,0
ohlc_220607,70432,ohlc_220607,70432,0
ohlc_220608,68117,ohlc_220608,68117,0
ohlc_220609,75212,ohlc_220609,75212,0
ohlc_220610,94466,ohlc_220610,94466,0
ohlc_220613,100814,ohlc_220613,100814,0
ohlc_220614,80136,ohlc_220614,80136,0
ohlc_220615,83344,ohlc_220615,83344,0
ohlc_220616,84086,ohlc_220616,84086,0
ohlc_220617,77682,ohlc_220617,77682,0
ohlc_220621,73644,ohlc_220621,73644,0
ohlc_220622,74746,ohlc_220622,74746,0
ohlc_220623,68418,ohlc_220623,68418,0
ohlc_220624,80942,ohlc_220624,80942,0
ohlc_220627,71284,ohlc_220627,71284,0
ohlc_220628,87654,ohlc_220628,87654,0
ohlc_220629,69410,ohlc_220629,69410,0
ohlc_220630,86799,ohlc_220630,86799,0
ohlc_220701,73102,ohlc_220701,73102,0
ohlc_220705,80375,ohlc_220705,80375,0
ohlc_220706,73307,ohlc_220706,73307,0
ohlc_220707,66654,ohlc_220707,66654,0
ohlc_220708,67808,ohlc_220708,67808,0
ohlc_220711,69053,ohlc_220711,69053,0
ohlc_220712,65469,ohlc_220712,65469,0
ohlc_220713,78771,ohlc_220713,78771,0
ohlc_220714,78210,ohlc_220714,78210,0
ohlc_220715,73707,ohlc_220715,73707,0
ohlc_220718,79195,ohlc_220718,79195,0
ohlc_220719,83900,ohlc_220719,83900,0
ohlc_220720,83511,ohlc_220720,83511,0
ohlc_220721,74291,ohlc_220721,74291,0
ohlc_220722,75642,ohlc_220722,75642,0
ohlc_220725,66818,ohlc_220725,66818,0
ohlc_220726,63901,ohlc_220726,63901,0
ohlc_220727,79857,ohlc_220727,79857,0
ohlc_220728,83057,ohlc_220728,83057,0
ohlc_220729,77400,ohlc_220729,77400,0
ohlc_220801,74504,ohlc_220801,74504,0
ohlc_220802,74508,ohlc_220802,74508,0
ohlc_220803,77794,ohlc_220803,77794,0
ohlc_220804,60531,ohlc_220804,60531,0
ohlc_220805,72818,ohlc_220805,72818,0
ohlc_220808,73836,ohlc_220808,73836,0
ohlc_220809,60543,ohlc_220809,60543,0
ohlc_220810,77540,ohlc_220810,77540,0
ohlc_220811,75348,ohlc_220811,75348,0
ohlc_220812,71413,ohlc_220812,71413,0
ohlc_220815,69889,ohlc_220815,69889,0
ohlc_220816,68333,ohlc_220816,68333,0
ohlc_220817,76201,ohlc_220817,76201,0
ohlc_220818,58240,ohlc_220818,58240,0
ohlc_220819,72463,ohlc_220819,72463,0
ohlc_220822,85471,ohlc_220822,85471,0
ohlc_220823,65069,ohlc_220823,65069,0
ohlc_220824,66875,ohlc_220824,66875,0
ohlc_220825,67195,ohlc_220825,67195,0
ohlc_220826,97972,ohlc_220826,97972,0
ohlc_220829,88084,ohlc_220829,88084,0
ohlc_220830,90194,ohlc_220830,90194,0
ohlc_220831,83567,ohlc_220831,83567,0
ohlc_220901,85592,ohlc_220901,85592,0
ohlc_220902,92803,ohlc_220902,92803,0
ohlc_220906,88297,ohlc_220906,88297,0
ohlc_220907,85512,ohlc_220907,85512,0
ohlc_220908,80346,ohlc_220908,80346,0
ohlc_220909,84801,ohlc_220909,84801,0
ohlc_220912,84128,ohlc_220912,84128,0
ohlc_220913,101854,ohlc_220913,101854,0
ohlc_220914,87021,ohlc_220914,87021,0
ohlc_220915,91842,ohlc_220915,91842,0
ohlc_220916,92324,ohlc_220916,92324,0
ohlc_220919,82348,ohlc_220919,82348,0
ohlc_220920,81349,ohlc_220920,81349,0
ohlc_220921,93057,ohlc_220921,93057,0
ohlc_220922,90636,ohlc_220922,90636,0
ohlc_220923,107398,ohlc_220923,107398,0
ohlc_220926,96584,ohlc_220926,96584,0
ohlc_220927,96843,ohlc_220927,96843,0
ohlc_220928,98431,ohlc_220928,98431,0
ohlc_220929,93784,ohlc_220929,93784,0
ohlc_220930,96345,ohlc_220930,96345,0
ohlc_221003,95637,ohlc_221003,95637,0
ohlc_221004,98103,ohlc_221004,98103,0
ohlc_221005,91779,ohlc_221005,91779,0
ohlc_221006,82536,ohlc_221006,82536,0
ohlc_221007,97833,ohlc_221007,97833,0
ohlc_221010,86860,ohlc_221010,86860,0
ohlc_221011,92118,ohlc_221011,92118,0
ohlc_221012,80681,ohlc_221012,80681,0
ohlc_221013,116668,ohlc_221013,116668,0
ohlc_221014,96307,ohlc_221014,96307,0
ohlc_221017,89528,ohlc_221017,89528,0
ohlc_221018,99353,ohlc_221018,99353,0
ohlc_221019,86498,ohlc_221019,86498,0
ohlc_221020,86787,ohlc_221020,86787,0
ohlc_221021,99773,ohlc_221021,99773,0
ohlc_221024,100651,ohlc_221024,100651,0
ohlc_221025,89637,ohlc_221025,89637,0
ohlc_221026,93101,ohlc_221026,93101,0
ohlc_221027,81012,ohlc_221027,81012,0
ohlc_221028,92325,ohlc_221028,92325,0
ohlc_221031,83704,ohlc_221031,83704,0
ohlc_221101,77193,ohlc_221101,77193,0
ohlc_221102,93376,ohlc_221102,93376,0
ohlc_221103,87939,ohlc_221103,87939,0
ohlc_221104,97857,ohlc_221104,97857,0
ohlc_221107,81502,ohlc_221107,81502,0
ohlc_221108,91861,ohlc_221108,91861,0
ohlc_221109,87951,ohlc_221109,87951,0
ohlc_221110,108775,ohlc_221110,108775,0
ohlc_221111,90795,ohlc_221111,90795,0
ohlc_221114,83400,ohlc_221114,83400,0
ohlc_221115,91164,ohlc_221115,91164,0
ohlc_221116,74193,ohlc_221116,74193,0
ohlc_221117,81479,ohlc_221117,81479,0
ohlc_221118,80686,ohlc_221118,80686,0
ohlc_221121,78078,ohlc_221121,78078,0
ohlc_221122,76108,ohlc_221122,76108,0
ohlc_221123,76482,ohlc_221123,76482,0
ohlc_221125,37296,ohlc_221125,37296,0
ohlc_221128,82241,ohlc_221128,82241,0
ohlc_221129,72638,ohlc_221129,72638,0
ohlc_221130,98834,ohlc_221130,98834,0
ohlc_221201,84703,ohlc_221201,84703,0
ohlc_221202,84209,ohlc_221202,84209,0
ohlc_221205,90219,ohlc_221205,90219,0
ohlc_221206,96479,ohlc_221206,96479,0
ohlc_221207,82657,ohlc_221207,82657,0
ohlc_221208,71401,ohlc_221208,71401,0
ohlc_221209,72365,ohlc_221209,72365,0
ohlc_221212,78992,ohlc_221212,78992,0
ohlc_221213,105548,ohlc_221213,105548,0
ohlc_221214,89189,ohlc_221214,89189,0
ohlc_221215,97694,ohlc_221215,97694,0
ohlc_221216,92302,ohlc_221216,92302,0
ohlc_221219,82386,ohlc_221219,82386,0
ohlc_221220,76343,ohlc_221220,76343,0
ohlc_221221,79131,ohlc_221221,79131,0
ohlc_221222,94660,ohlc_221222,94660,0
ohlc_221223,72294,ohlc_221223,72294,0
ohlc_221227,71140,ohlc_221227,71140,0
ohlc_221228,80073,ohlc_221228,80073,0
ohlc_221229,69986,ohlc_221229,69986,0
ohlc_221230,71005,ohlc_221230,71005,0
ohlc_230103,88556,ohlc_230103,88556,0
ohlc_230104,87588,ohlc_230104,87588,0
ohlc_230105,77174,ohlc_230105,77174,0
ohlc_230106,99248,ohlc_230106,99248,0
ohlc_230109,93083,ohlc_230109,93083,0
ohlc_230110,75312,ohlc_230110,75312,0
ohlc_230111,83995,ohlc_230111,83995,0
ohlc_230112,94361,ohlc_230112,94361,0
ohlc_230113,79064,ohlc_230113,79064,0
ohlc_230117,72342,ohlc_230117,72342,0
ohlc_230118,90427,ohlc_230118,90427,0
ohlc_230119,84121,ohlc_230119,84121,0
ohlc_230120,86719,ohlc_230120,86719,0
ohlc_230123,97896,ohlc_230123,97896,0
ohlc_230124,72567,ohlc_230124,72567,0
ohlc_230125,92293,ohlc_230125,92293,0
ohlc_230126,86469,ohlc_230126,86469,0
ohlc_230127,90974,ohlc_230127,90974,0
ohlc_230130,87260,ohlc_230130,87260,0
ohlc_230131,77527,ohlc_230131,77527,0
ohlc_230201,98580,ohlc_230201,98580,0
ohlc_230202,101754,ohlc_230202,101754,0
ohlc_230203,92457,ohlc_230203,92457,0
ohlc_230206,81035,ohlc_230206,81035,0
ohlc_230207,91856,ohlc_230207,91856,0
ohlc_230208,85872,ohlc_230208,85872,0
ohlc_230209,87596,ohlc_230209,87596,0
ohlc_230210,88605,ohlc_230210,88605,0
ohlc_230213,81996,ohlc_230213,81996,0
ohlc_230214,101198,ohlc_230214,101198,0
ohlc_230215,78291,ohlc_230215,78291,0
ohlc_230216,82607,ohlc_230216,82607,0
ohlc_230217,93331,ohlc_230217,93331,0
ohlc_230221,97857,ohlc_230221,97857,0
ohlc_230222,86638,ohlc_230222,86638,0
ohlc_230223,86657,ohlc_230223,86657,0
ohlc_230224,91517,ohlc_230224,91517,0
ohlc_230227,84831,ohlc_230227,84831,0
ohlc_230228,79626,ohlc_230228,79626,0
ohlc_230301,86168,ohlc_230301,86168,0
ohlc_230302,85565,ohlc_230302,85565,0
ohlc_230303,95871,ohlc_230303,95871,0
ohlc_230306,89993,ohlc_230306,89993,0
ohlc_230307,96602,ohlc_230307,96602,0
ohlc_230308,81952,ohlc_230308,81952,0
ohlc_230309,102726,ohlc_230309,102726,0
ohlc_230310,129303,ohlc_230310,129303,0
ohlc_230313,123227,ohlc_230313,123227,0
