Table Name,Row Count
ohlc_220422,91494
ohlc_220425,95476
ohlc_220426,75735
ohlc_220427,75913
ohlc_220428,69405
ohlc_220429,83125
ohlc_220502,92175
ohlc_220503,60130
ohlc_220504,76665
ohlc_220505,73500
ohlc_220506,82859
ohlc_220509,90978
ohlc_220510,78004
ohlc_220511,78822
ohlc_220512,76533
ohlc_220513,79786
ohlc_220516,72150
ohlc_220517,72024
ohlc_220518,88298
ohlc_220519,75569
ohlc_220520,91870
ohlc_220523,80843
ohlc_220524,77199
ohlc_220525,76156
ohlc_220526,81218
ohlc_220527,79460
ohlc_220531,80138
ohlc_220601,78702
ohlc_220602,68038
ohlc_220603,72760
ohlc_220606,68990
ohlc_220607,70432
ohlc_220608,68117
ohlc_220609,75212
ohlc_220610,94466
ohlc_220613,100814
ohlc_220614,80136
ohlc_220615,83344
ohlc_220616,84086
ohlc_220617,77682
ohlc_220621,73644
ohlc_220622,74746
ohlc_220623,68418
ohlc_220624,80942
ohlc_220627,71284
ohlc_220628,87654
ohlc_220629,69410
ohlc_220630,86799
ohlc_220701,73102
ohlc_220705,80375
ohlc_220706,73307
ohlc_220707,66654
ohlc_220708,67808
ohlc_220711,69053
ohlc_220712,65469
ohlc_220713,78771
ohlc_220714,78210
ohlc_220715,73707
ohlc_220718,79195
ohlc_220719,83900
ohlc_220720,83511
ohlc_220721,74291
ohlc_220722,75642
ohlc_220725,66818
ohlc_220726,63901
ohlc_220727,79857
ohlc_220728,83057
ohlc_220729,77400
ohlc_220801,74504
ohlc_220802,74508
ohlc_220803,77794
ohlc_220804,60531
ohlc_220805,72818
ohlc_220808,73836
ohlc_220809,60543
ohlc_220810,77540
ohlc_220811,75348
ohlc_220812,71413
ohlc_220815,69889
ohlc_220816,68333
ohlc_220817,76201
ohlc_220818,58240
ohlc_220819,72463
ohlc_220822,85471
ohlc_220823,65069
ohlc_220824,66875
ohlc_220825,67195
ohlc_220826,97972
ohlc_220829,88084
ohlc_220830,90194
ohlc_220831,83567
ohlc_220901,85592
ohlc_220902,92803
ohlc_220906,88297
ohlc_220907,85512
ohlc_220908,80346
ohlc_220909,84801
ohlc_220912,84128
ohlc_220913,101854
ohlc_220914,87021
ohlc_220915,91842
ohlc_220916,92324
ohlc_220919,82348
ohlc_220920,81349
ohlc_220921,93057
ohlc_220922,90636
ohlc_220923,107398
ohlc_220926,96584
ohlc_220927,96843
ohlc_220928,98431
ohlc_220929,93784
ohlc_220930,96345
ohlc_221003,95637
ohlc_221004,98103
ohlc_221005,91779
