Table Name,Row Count
ohlc_exp_220422,25951
ohlc_exp_220425,26724
ohlc_exp_220426,17557
ohlc_exp_220427,26686
ohlc_exp_220428,0
ohlc_exp_220429,28282
ohlc_exp_220502,29377
ohlc_exp_220503,15917
ohlc_exp_220504,28444
ohlc_exp_220505,0
ohlc_exp_220506,33966
ohlc_exp_220509,29895
ohlc_exp_220510,26299
ohlc_exp_220511,31123
ohlc_exp_220512,0
ohlc_exp_220513,29198
ohlc_exp_220516,24677
ohlc_exp_220517,22197
ohlc_exp_220518,27794
ohlc_exp_220519,23453
ohlc_exp_220520,30710
ohlc_exp_220523,24898
ohlc_exp_220524,24831
ohlc_exp_220525,25569
ohlc_exp_220526,22750
ohlc_exp_220527,23900
ohlc_exp_220531,25668
ohlc_exp_220601,24596
ohlc_exp_220602,16384
ohlc_exp_220603,24980
ohlc_exp_220606,21489
ohlc_exp_220607,21081
ohlc_exp_220608,20571
ohlc_exp_220609,22308
ohlc_exp_220610,31125
ohlc_exp_220613,28331
ohlc_exp_220614,25810
ohlc_exp_220615,31539
ohlc_exp_220616,25955
ohlc_exp_220617,29813
ohlc_exp_220621,21835
ohlc_exp_220622,23849
ohlc_exp_220623,22448
ohlc_exp_220624,24816
ohlc_exp_220627,22111
ohlc_exp_220628,23935
ohlc_exp_220629,22841
ohlc_exp_220630,28581
ohlc_exp_220701,24594
ohlc_exp_220705,24600
ohlc_exp_220706,23891
ohlc_exp_220707,19335
ohlc_exp_220708,22345
ohlc_exp_220711,20271
ohlc_exp_220712,19303
ohlc_exp_220713,24756
ohlc_exp_220714,22367
ohlc_exp_220715,23467
ohlc_exp_220718,20611
ohlc_exp_220719,23326
ohlc_exp_220720,22633
ohlc_exp_220721,21463
ohlc_exp_220722,23288
ohlc_exp_220725,19858
ohlc_exp_220726,18607
ohlc_exp_220727,24346
ohlc_exp_220728,22018
ohlc_exp_220729,23231
ohlc_exp_220801,21125
ohlc_exp_220802,21500
ohlc_exp_220803,20560
ohlc_exp_220804,18814
ohlc_exp_220805,21138
ohlc_exp_220808,19781
ohlc_exp_220809,17571
ohlc_exp_220810,20173
ohlc_exp_220811,19756
ohlc_exp_220812,19759
ohlc_exp_220815,18385
ohlc_exp_220816,17953
ohlc_exp_220817,21028
ohlc_exp_220818,16886
ohlc_exp_220819,21949
ohlc_exp_220822,21333
ohlc_exp_220823,19235
ohlc_exp_220824,18904
ohlc_exp_220825,19100
ohlc_exp_220826,26520
ohlc_exp_220829,24072
ohlc_exp_220830,24173
ohlc_exp_220831,24147
ohlc_exp_220901,23473
ohlc_exp_220902,27487
ohlc_exp_220906,25311
ohlc_exp_220907,24138
ohlc_exp_220908,24873
ohlc_exp_220909,25123
ohlc_exp_220912,22514
ohlc_exp_220913,26752
ohlc_exp_220914,27509
ohlc_exp_220915,24291
ohlc_exp_220916,29538
ohlc_exp_220919,23537
ohlc_exp_220920,24452
ohlc_exp_220921,31723
ohlc_exp_220922,26311
ohlc_exp_220923,31077
ohlc_exp_220926,28394
ohlc_exp_220927,29107
ohlc_exp_220928,29779
ohlc_exp_220929,30125
ohlc_exp_220930,32425
ohlc_exp_221003,27528
ohlc_exp_221004,28478
ohlc_exp_221005,25808
ohlc_exp_221006,26787
ohlc_exp_221007,29294
ohlc_exp_221010,25111
ohlc_exp_221011,26387
ohlc_exp_221012,26996
ohlc_exp_221013,36432
ohlc_exp_221014,34657
ohlc_exp_221017,27424
ohlc_exp_221018,29999
ohlc_exp_221019,28348
ohlc_exp_221020,25318
ohlc_exp_221021,30695
ohlc_exp_221024,29034
ohlc_exp_221025,24997
ohlc_exp_221026,25904
ohlc_exp_221027,25207
ohlc_exp_221028,28156
ohlc_exp_221031,25355
ohlc_exp_221101,23672
ohlc_exp_221102,31478
ohlc_exp_221103,25618
ohlc_exp_221104,30110
ohlc_exp_221107,24691
ohlc_exp_221108,25690
ohlc_exp_221109,27281
ohlc_exp_221110,31708
ohlc_exp_221111,28291
ohlc_exp_221114,23410
ohlc_exp_221115,27064
ohlc_exp_221116,23861
ohlc_exp_221117,24694
ohlc_exp_221118,24928
ohlc_exp_221121,20216
ohlc_exp_221122,19484
ohlc_exp_221123,21370
ohlc_exp_221125,9526
ohlc_exp_221128,20041
ohlc_exp_221129,20157
ohlc_exp_221130,27482
ohlc_exp_221201,23514
ohlc_exp_221202,24482
ohlc_exp_221205,22411
ohlc_exp_221206,24010
ohlc_exp_221207,23909
ohlc_exp_221208,22171
ohlc_exp_221209,23360
ohlc_exp_221212,20652
ohlc_exp_221213,33755
ohlc_exp_221214,32363
ohlc_exp_221215,26348
ohlc_exp_221216,28622
ohlc_exp_221219,21863
ohlc_exp_221220,23264
ohlc_exp_221221,21568
ohlc_exp_221222,25489
ohlc_exp_221223,24141
ohlc_exp_221227,20964
ohlc_exp_221228,20908
ohlc_exp_221229,20651
ohlc_exp_221230,23020
ohlc_exp_230103,24578
ohlc_exp_230104,24833
ohlc_exp_230105,23725
ohlc_exp_230106,27411
ohlc_exp_230109,22712
ohlc_exp_230110,22401
ohlc_exp_230111,21303
ohlc_exp_230112,26903
ohlc_exp_230113,22550
ohlc_exp_230117,19234
ohlc_exp_230118,22362
ohlc_exp_230119,21602
ohlc_exp_230120,22446
ohlc_exp_230123,23392
